img;text
https://sun9-76.userapi.com/impf/ri5rafemhRWPVCV0zVQt7PDp-JfpMSr0uaSomA/9VLnOSeyDt0.jpg?size=1280x868&quality=96&sign=ef7a7c87f9aef60c1cc6ec97dfb0de64&type=album;1976
https://sun9-6.userapi.com/impf/dPl_muDSlQx2ZcTSG-huMUhTPT4NUayMaAOxrQ/H50VUE1v9rs.jpg?size=1280x884&quality=96&sign=01ea97cd120edc1492de99f52552f41c&type=album;Здавствуй, школа
https://sun9-31.userapi.com/impf/n-HBXe6NvGgznMNt3TKSYGdtQ5S64WxBZiZvIA/Ic091f-4EKA.jpg?size=1280x673&quality=96&sign=8d720210b8f399c6ce41e5e8c0ab2842&type=album;Здавствуй, школа
https://sun9-64.userapi.com/impf/KwHrs-6PET7CBIO26GlJXdM3zgMJhaEhPHo-Aw/KL0d0Cq32Ao.jpg?size=1170x1024&quality=96&sign=089b7e31c272d2fe9efc866e518d35e7&type=album;Здавствуй, школа
https://sun9-8.userapi.com/impf/aMroDzbuKaz-pEGlFJpyktMaO_mlQ7Rvpv2uQg/NMI3aalvGKU.jpg?size=1280x852&quality=96&sign=4d4c4cf3089f99dc947d902374778900&type=album;Встреча нового года (1976)
https://sun9-18.userapi.com/impf/0V8YqEVyvuU15F_hDOc3adqO4Z2LnV-5CusNiA/SdJZNXFmoOM.jpg?size=1280x847&quality=96&sign=08247b40409f15e189d50544d722f01d&type=album;Последняя самопроверка диктанта
https://sun9-29.userapi.com/impf/ugSzdJs71bFFdqieo6lvC5ePaCFywQFhFQo3CQ/WZFpnPfFuzc.jpg?size=703x1024&quality=96&sign=22967313cfd803b28809dad443713879&type=album;Первый выпуск школы. Последный звонок
https://sun9-3.userapi.com/impf/RphVgooEcJlk-ZNlmkV_TiUAyIoKTPkgXp3qMg/YKZunlEZ-eI.jpg?size=1280x878&quality=96&sign=5624afd766ecfa283694ee2d59c3538b&type=album;15 республик - 15 сестёр (к юбилею образования СССР)
https://sun9-74.userapi.com/impf/nG7PTLtdj1xIA1jlqg_NqZMa1j3KrFQSn-wovA/d5QLRd7sIMs.jpg?size=1280x899&quality=96&sign=030426d1f18a6253e7681385d38e765c&type=album;А.С.Каргоролов в роли Ленина на школьном празнике
https://sun9-43.userapi.com/impf/0k2rCpUT0LF8UBnKDVowdyODsX9xhkg6kL1rcg/3MKJ1AZf2kA.jpg?size=1280x796&quality=96&sign=495be8acbd2dcb1bdce02b216b23ccbe&type=album;На первомайской демонстрации 10 "В" класс. Классный руководитель - Курлова И. С.
https://sun9-17.userapi.com/impf/19RDvM8RgIdBrl3ZOptheMDdVrmXkrSGT51P7g/4dP4agA9pBo.jpg?size=1280x826&quality=96&sign=2985d7614705779948fb8c4d1b63381a&type=album;Возложение цветов к памятнику комсомольцев-кузбассовцев на берегу Томи
https://sun9-25.userapi.com/impf/DQTKv7-7nMUFabuLrJz6DeEqDdZ9eZzEBGw1IA/mso9N73dtlk.jpg?size=1280x884&quality=96&sign=3cd0d299ae61b72ceb4814ab70242a86&type=album;А.С.Каргоролов в роли Ленина на школьном празнике
https://sun9-30.userapi.com/impf/K3vlJjvQglJ3OTfbQO64_3WSj6LMXzkH7CH_-w/o4XfNeLAnLc.jpg?size=741x1024&quality=96&sign=30eb037c79004c261e6ed8bd4aee0493&type=album;Первый звонок
https://sun9-7.userapi.com/impf/5jljhE73YgeQokgUB3kBOq_NZaT-hbr5l10arw/tpzTEOviWQY.jpg?size=1280x912&quality=96&sign=6a25f5688420d565c4616cf4a5121c39&type=album;Октябрятский хор
https://sun9-35.userapi.com/impf/KLE0Br1Y8lfiPONOcQK7vbUjg2mmmk3ih6qU7A/unb1FLaVIJw.jpg?size=1280x902&quality=96&sign=9fff8a904d7af028a8e3e9acece50a7e&type=album;Возложение цветов к памятнику комсомольцев-кузбассовцев на берегу Томи
